cell_id	fallback
4033	0.06666667014360428
4036	0.1003236249089241
4045	0.05263157933950424
4047	0.6127562522888184
4048	0.9677419066429138
4049	1.0
4050	0.21003134548664093
4051	0.7939394116401672
4052	1.0
4053	1.0
4054	1.0
4055	1.0
4056	0.9238095283508301
4057	1.0
4058	0.5882353186607361
4059	0.886956512928009
4104	0.9695431590080261
4105	0.568345308303833
4106	1.0
4107	1.0
4108	1.0
4109	0.8820754885673523
4110	1.0
4111	0.8176637887954712
4112	1.0
4113	0.9037266969680786
4114	1.0
4115	1.0
4116	0.10041841119527817
4117	0.22084367275238037
4124	0.26778241991996765
4125	0.6902173757553101
4126	0.10857142508029938
4127	0.96875
4128	1.0
4129	1.0
4130	0.6651785969734192
4131	1.0
4132	1.0
4133	1.0
4134	1.0
4135	1.0
4136	0.8554216623306274
4137	0.05263157933950424
4138	0.27419355511665344
4146	0.04026845470070839
4147	0.22404371201992035
4149	0.09433962404727936
4303	0.848557710647583
4304	1.0
4305	1.0
4306	1.0
4307	1.0
4308	0.5696969628334045
4309	0.09850746393203735
4327	0.11395348608493805
4330	0.6293532252311707
4331	0.810068666934967
4332	1.0
4333	1.0
4334	1.0
4335	1.0
4336	1.0
4337	1.0
4338	1.0
4339	0.6691729426383972
4347	1.0
4348	1.0
4349	1.0
4350	0.6847826242446899
4351	0.8039215803146362
4354	0.022304832935333252
4355	0.005181347019970417
4360	1.0
4364	0.2163461595773697
4368	0.9903537034988403
4373	1.0
4374	0.9469026327133179
4375	0.037974681705236435
4376	1.0
4378	1.0
4380	0.8527131676673889
4381	1.0
4383	0.2571428716182709
4387	1.0
4388	1.0
4389	0.3186813294887543
4390	0.7714285850524902
4391	1.0
4392	1.0
4393	1.0
4394	1.0
4395	1.0
4398	0.4947735071182251
4401	0.19354838132858276
4402	1.0
4403	1.0
4404	0.3575129508972168
4405	0.9166666865348816
4406	0.8674699068069458
4410	0.39303481578826904
4411	1.0
4417	0.10740740597248077
4418	1.0
4419	1.0
4420	0.9489051103591919
4422	0.5714285969734192
4425	0.8381502628326416
4426	0.5615384578704834
4430	0.3539822995662689
4431	1.0
4439	0.37162160873413086
4448	0.08675798773765564
4449	1.0
4549	1.0
4594	0.029411764815449715
4595	0.09180327504873276
4596	0.39694657921791077
4597	0.7773279547691345
4598	1.0
4599	1.0
4600	1.0
4601	1.0
4602	0.8888888955116272
4603	1.0
4604	0.9788732528686523
4605	0.9493087530136108
4606	0.11324786394834518
4607	0.03311258181929588
4608	0.09485094994306564
4613	0.8999999761581421
4614	0.921875
4615	1.0
4616	1.0
4617	1.0
4618	1.0
4619	1.0
4620	1.0
4621	1.0
4622	0.1367521435022354
4624	0.02054794505238533
4634	0.21544715762138367
4635	0.014527845196425915
4640	0.05309734493494034
4641	0.06748466193675995
4642	0.848739504814148
4643	1.0
4644	1.0
4645	1.0
4646	1.0
4647	1.0
4648	1.0
4649	0.3689320385456085
4650	0.010989011265337467
4651	0.2633744776248932
4660	0.11926605552434921
4666	0.35421687364578247
4667	0.3035230338573456
4695	0.3258928656578064
4696	0.8394495248794556
4700	0.0014144271844998002
4702	0.6649350523948669
4703	1.0
4704	0.031976744532585144
4705	0.6483516693115234
4719	0.011876484379172325
4725	0.5698113441467285
4727	0.005988024175167084
4728	0.02184087410569191
4752	0.1858585923910141
4848	0.3664921522140503
4849	1.0
4850	1.0
4851	1.0
4852	1.0
4853	0.13907285034656525
4854	0.005780346691608429
4869	0.017094017937779427
4870	0.2777777910232544
4871	1.0
4872	1.0
4873	1.0
4874	1.0
4875	1.0
4876	1.0
4891	0.234375
4892	0.4000000059604645
4893	0.0891089141368866
4894	0.19075144827365875
4932	0.6081081032752991
4934	0.07992564886808395
4935	0.001818181830458343
4936	0.01794871874153614
4938	0.44680851697921753
4939	1.0
4942	1.0
4944	0.07960198819637299
4947	1.0
4949	0.20393559336662292
4950	0.683783769607544
4951	0.963718831539154
4952	0.015313935466110706
4954	0.7882882952690125
4955	1.0
4957	1.0
4959	0.30038022994995117
4962	0.5263158082962036
4963	0.0423162579536438
4969	0.24380165338516235
4970	1.0
4971	0.9698113203048706
4972	1.0
4974	0.22983871400356293
4975	0.9585921168327332
4980	0.05829596519470215
4982	0.10355987399816513
4986	0.013513513840734959
4991	0.8797653913497925
5762	0.30484989285469055
5766	0.9228571653366089
5775	0.8937729001045227
5776	0.009950248524546623
5783	0.12941177189350128
5785	0.023364486172795296
5786	0.34705883264541626
5787	1.0
5788	1.0
5789	1.0
5790	1.0
5791	1.0
5792	1.0
5793	1.0
5794	0.3095238208770752
5795	0.306547611951828
5804	0.0714285746216774
5805	0.7333333492279053
5806	0.8814159035682678
5807	1.0
5808	0.8441780805587769
5809	1.0
5810	1.0
5811	1.0
5812	0.8960000276565552
5813	0.21927711367607117
5814	0.04244031757116318
5815	0.2915254235267639
5824	0.025236593559384346
5825	0.27696794271469116
5826	1.0
5827	0.9867987036705017
5828	0.9510204195976257
5829	1.0
5830	1.0
5831	1.0
5832	1.0
5833	1.0
5834	0.33250001072883606
5835	0.9876161217689514
5836	0.24637681245803833
5837	0.007874015718698502
5843	0.14374999701976776
5844	1.0
5845	0.9944444298744202
5846	1.0
5847	1.0
