x_transformed,y_transformed,group
18772.959,12669.373,Endothelial Cell
18794.434,12664.771,Memory B Cell
18791.344,12699.426,Intermediate Monocyte
18803.006,12715.578,Naive Thymus Derived CD4+ αβ T Cell
18753.793,12574.821,Effector CD4+ αβ T Cell
18717.406,12567.993,Memory B Cell
18725.602,12592.209,CD8+ αβ Memory T Cell
18734.523,12580.48,Memory B Cell
18750.234,12605.339,Plasma Cell
18712.277,12603.369,Plasma Cell
18709.186,12626.799,CD141+ Myeloid Dendritic Cell
18730.508,12616.629,Plasma Cell
18757.488,12631.353,Innate Lymphoid Cell
18633.275,12674.103,Innate Lymphoid Cell
18643.818,12690.707,Stromal Cell
18666.543,12707.171,Endothelial Cell
18622.729,12708.204,Endothelial Cell
18641.215,12709.6455,Endothelial Cell
18655.28,12725.037,Innate Lymphoid Cell
18646.002,12656.579,Naive Thymus Derived CD4+ αβ T Cell
18696.254,12578.329,Plasma Cell
18651.762,12580.407,Plasma Cell
18680.33,12562.059,T Cell
18682.268,12662.676,Endothelial Cell
18688.572,12683.752,Memory B Cell
18684.008,12642.335,Endothelial Cell
18662.922,12597.574,Plasma Cell
18622.4,12688.091,Memory B Cell
18659.453,12671.84,Naive Thymus Derived CD4+ αβ T Cell
18621.834,12603.162,Endothelial Cell
18637.84,12601.366,Naive Thymus Derived CD4+ αβ T Cell
18662.908,12641.128,Endothelial Cell
18077.936,12727.136,Stromal Cell
17868.137,12638.681,Memory B Cell
17903.857,12690.93,Endothelial Cell
17886.205,12684.757,Innate Lymphoid Cell
17877.979,12669.013,Memory B Cell
17899.564,12653.513,CD1c+ Myeloid Dendritic Cell
17901.512,12708.492,Stromal Cell
17850.568,12711.223,Macrophage
17971.4,12593.428,Endothelial Cell
17904.312,12626.731,Effector CD4+ αβ T Cell
18021.988,12599.971,CD4+ αβ Memory T Cell
17924.053,12620.006,Macrophage
18009.367,12581.59,Endothelial Cell
17998.736,12604.418,T Cell
17984.777,12699.011,B Cell
17905.906,12672.825,Endothelial Cell
17923.518,12694.261,Stromal Cell
17923.943,12718.253,Memory B Cell
17943.146,12701.831,Memory B Cell
17958.592,12693.69,Innate Lymphoid Cell
18003.021,12694.642,Stromal Cell
18047.453,12696.495,Stromal Cell
18009.857,12673.632,Naive Thymus Derived CD4+ αβ T Cell
18026.336,12685.325,Memory B Cell
18026.557,12714.501,CD8+ αβ Memory T Cell
18095.914,12699.621,Memory B Cell
18082.158,12707.8,Macrophage
18084.453,12684.77,Intermediate Monocyte
18087.857,12576.112,Memory B Cell
18033.705,12619.009,Endothelial Cell
18044.613,12598.947,CD4+ αβ Memory T Cell
18052.564,12580.868,B Cell
18066.287,12612.345,Endothelial Cell
18079.69,12593.324,Memory B Cell
18276.713,12628.375,Memory B Cell
18248.648,12575.377,Naive Thymus Derived CD4+ αβ T Cell
18180.51,12599.529,B Cell
18201.902,12604.934,Memory B Cell
18220.61,12587.1875,Endothelial Cell
18167.266,12719.038,Memory B Cell
18112.994,12706.871,Innate Lymphoid Cell
18110.229,12676.695,Plasma Cell
18132.912,12684.027,Memory B Cell
18198.22,12706.07,CD4+ αβ Memory T Cell
18146.693,12601.998,Stromal Cell
18107.025,12582.042,Naive Thymus Derived CD4+ αβ T Cell
18127.396,12593.864,Endothelial Cell
18593.498,12569.872,Stromal Cell
18512.305,12583.226,Naive Thymus Derived CD4+ αβ T Cell
18530.582,12594.309,CD8+ αβ Memory T Cell
18535.02,12573.776,Intermediate Monocyte
18556.652,12595.392,B Cell
18574.64,12585.996,Naive Thymus Derived CD4+ αβ T Cell
18528.236,12639.636,Plasmacytoid Dendritic Cell
18506.037,12610.019,Naive B Cell
18521.527,12616.676,B Cell
18561.773,12613.949,Memory B Cell
18540.785,12612.095,Plasma Cell
18547.707,12631.454,CD8+ αβ Memory T Cell
18490.107,12587.724,Endothelial Cell
18458.549,12614.559,Hematopoietic Stem Cell
18462.445,12640.887,B Cell
18478.994,12626.952,Effector CD4+ αβ T Cell
18361.621,12659.375,Macrophage
18323.78,12711.732,Regulatory T Cell
18353.883,12685.894,Macrophage
18403.31,12664.291,CD1c+ Myeloid Dendritic Cell
18381.504,12667.033,Endothelial Cell
18380.033,12692.515,Naive Thymus Derived CD4+ αβ T Cell
18398.777,12686.04,CD141+ Myeloid Dendritic Cell
18419.623,12594.543,Naive Thymus Derived CD4+ αβ T Cell
18313.672,12585.017,T Cell
18348.188,12564.86,Endothelial Cell
18369.16,12591.959,Endothelial Cell
18481.61,12606.123,Endothelial Cell
18603.09,12699.137,Stromal Cell
18547.168,12725.555,Endothelial Cell
18572.348,12722.862,Memory B Cell
18592.85,12722.364,Hematopoietic Stem Cell
18508.93,12716.35,Mature NK T Cell
18419.264,12729.554,B Cell
18442.215,12721.717,Hematopoietic Stem Cell
18453.938,12702.47,Regulatory T Cell
18466.164,12720.647,Memory B Cell
18487.336,12726.3125,CD8+ αβ Memory T Cell
19542.953,12558.437,CD8+ αβ Memory T Cell
19457.785,12554.525,Endothelial Cell
19484.846,12564.402,Naive B Cell
19522.393,12548.993,Memory B Cell
19033.314,12500.091,Endothelial Cell
19136.941,12503.237,Macrophage
19150.658,12523.242,Non Classical Monocyte
19108.4,12507.271,CD1c+ Myeloid Dendritic Cell
19396.932,12504.123,Innate Lymphoid Cell
19271.387,12517.334,Endothelial Cell
19424.926,12530.846,Naive Thymus Derived CD4+ αβ T Cell
19291.652,12564.873,Innate Lymphoid Cell
19392.906,12534.298,Mast Cell
18702.912,12552.161,B Cell
18673.865,12507.501,Plasma Cell
18682.838,12540.407,Stromal Cell
18596.656,12517.854,Naive Thymus Derived CD4+ αβ T Cell
18626.516,12513.252,Memory B Cell
18248.115,12550.034,Naive Thymus Derived CD4+ αβ T Cell
18219.984,12519.354,Memory B Cell
18227.943,12565.102,Naive Thymus Derived CD4+ αβ T Cell
18350.268,12543.13,Endothelial Cell
18320.182,12549.409,CD8+ αβ Memory T Cell
18322.117,12525.327,Endothelial Cell
18327.152,12567.264,Effector CD4+ αβ T Cell
18303.277,12541.955,Memory B Cell
18288.709,12524.467,Memory B Cell
18293.072,12566.099,Memory B Cell
18280.51,12547.352,B Cell
18263.012,12533.075,Regulatory T Cell
18280.232,12503.086,Memory B Cell
18608.244,12531.526,Regulatory T Cell
18502.379,12568.1875,Stromal Cell
18554.896,12568.285,Naive Thymus Derived CD4+ αβ T Cell
18553.895,12528.673,Effector CD8+ αβ T Cell
18604.334,12550.586,CD4+ αβ Memory T Cell
18471.105,12503.414,Macrophage
18426.992,12572.191,Endothelial Cell
18461.062,12526.857,Macrophage
18367.533,12510.125,Non Classical Monocyte
18399.162,12509.228,Endothelial Cell
19001.75,12507.058,Memory B Cell
18919.203,12507.447,Naive Thymus Derived CD4+ αβ T Cell
18941.102,12507.236,Endothelial Cell
18759.814,12548.881,Hematopoietic Stem Cell
18796.752,12533.694,Stromal Cell
18749.447,12511.202,Endothelial Cell
18766.14,12525.54,Macrophage
18781.326,12510.926,Endothelial Cell
18936.021,12527.25,Stromal Cell
18902.053,12559.783,Endothelial Cell
18919.166,12539.547,B Cell
18865.959,12522.163,Innate Lymphoid Cell
18824.344,12528.651,Memory B Cell
18836.26,12503.517,Innate Lymphoid Cell
18849.79,12513.797,Effector CD4+ αβ T Cell
18873.424,12542.4795,Stromal Cell
18853.717,12549.825,Stromal Cell
18833.498,12542.3545,Naive Thymus Derived CD4+ αβ T Cell
18493.045,13389.893,Stromal Cell
18476.152,13434.273,Endothelial Cell
18473.49,13375.068,B Cell
18890.342,13340.054,Naive B Cell
18735.727,13355.281,Memory B Cell
18716.43,13342.387,Memory B Cell
18697.037,13349.889,Memory B Cell
18758.12,13349.427,B Cell
18820.299,13348.667,CD8+ αβ Memory T Cell
18797.637,13351.108,Memory B Cell
18842.686,13343.4,B Cell
18262.56,13277.97,Naive Thymus Derived CD4+ αβ T Cell
18197.096,13262.287,Memory B Cell
18212.275,13300.426,Effector CD4+ αβ T Cell
18102.533,13255.648,Regulatory T Cell
18031.66,13284.724,T Cell
18057.127,13298.593,Memory B Cell
18085.283,13240.663,Intermediate Monocyte
18119.754,13310.9375,CD8+ αβ Memory T Cell
18025.996,13334.199,Innate Lymphoid Cell
18096.777,13310.407,Endothelial Cell
18115.592,13333.404,Endothelial Cell
17918.719,13285.605,CD4+ αβ Memory T Cell
17936.283,13255.947,Macrophage
17879.537,13268.402,B Cell
17839.56,13257.829,CD1c+ Myeloid Dendritic Cell
17840.484,13278.858,Endothelial Cell
17858.016,13260.686,Innate Lymphoid Cell
17879.68,13221.863,Macrophage
17827.752,13222.125,Endothelial Cell
17876.47,13244.883,CD8+ αβ Memory T Cell
17923.598,13262.2295,Memory B Cell
17899.066,13256.745,Memory B Cell
17912.29,13226.648,Naive Thymus Derived CD4+ αβ T Cell
17929.4,13235.421,Memory B Cell
17923.271,13327.241,Endothelial Cell
17926.873,13301.912,Macrophage
17941.059,13336.393,Effector CD4+ αβ T Cell
17883.26,13319.178,Regulatory T Cell
17850.936,13299.134,Naive Thymus Derived CD4+ αβ T Cell
17861.264,13323.967,CD8+ αβ Memory T Cell
17869.623,13300.33,Hematopoietic Stem Cell
17886.47,13296.458,CD4+ αβ Memory T Cell
17865.01,13282.622,Endothelial Cell
17904.873,13315.447,Memory B Cell
17900.719,13285.312,Memory B Cell
18007.568,13301.784,Naive Thymus Derived CD4+ αβ T Cell
17984.877,13314.065,Memory B Cell
18008.379,13322.487,Naive Thymus Derived CD4+ αβ T Cell
17984.72,13267.82,Memory B Cell
17997.008,13285.649,Hematopoietic Stem Cell
18011.457,13271.266,Memory B Cell
17965.006,13250.481,CD4+ αβ Memory T Cell
17963.195,13326.591,Memory B Cell
17946.404,13291.461,CD4+ αβ Memory T Cell
17947.361,13234.982,Memory B Cell
17956.787,13270.401,Endothelial Cell
17997.666,13221.897,Non Classical Monocyte
17973.63,13227.206,Memory B Cell
17988.709,13244.359,B Cell
18328.613,13450.522,Memory B Cell
18309.053,13437.716,B Cell
18308.676,13411.104,Naive B Cell
18326.516,13425.029,CD4+ αβ Memory T Cell
18045.73,13356.82,Innate Lymphoid Cell
18036.203,13404.998,Memory B Cell
18031.941,13378.53,Memory B Cell
18057.818,13417.126,Memory B Cell
18027.178,13355.672,Naive B Cell
18061.55,13454.009,Naive B Cell
18289.27,13404.369,Memory B Cell
18259.695,13418.725,Endothelial Cell
18264.686,13439.719,Endothelial Cell
18210.268,13386.511,B Cell
18160.584,13402.329,Regulatory T Cell
18191.002,13447.351,Naive Thymus Derived CD4+ αβ T Cell
18217.174,13407.0205,B Cell
17954.807,13349.426,Memory B Cell
17964.361,13392.601,Memory B Cell
17943.367,13389.903,CD4+ αβ Memory T Cell
17946.83,13369.989,Memory B Cell
17841.828,13458.488,Memory B Cell
17833.176,13406.335,Memory B Cell
17853.44,13434.155,Memory B Cell
17851.969,13398.194,Memory B Cell
17863.15,13452.545,Memory B Cell
17867.9,13413.921,Memory B Cell
17933.848,13408.614,CD8+ αβ Memory T Cell
17888.96,13423.718,Memory B Cell
17888.834,13401.121,Memory B Cell
17908.232,13432.172,Memory B Cell
17909.527,13407.437,Memory B Cell
17930.223,13430.621,Memory B Cell
17926.867,13354.3125,B Cell
17839.127,13378.312,Memory B Cell
17869.082,13382.543,Memory B Cell
17893.43,13381.542,Memory B Cell
17919.799,13383.27,B Cell
17903.707,13362.143,Regulatory T Cell
18012.19,13395.852,Memory B Cell
17983.418,13399.4,B Cell
18007.207,13432.021,Memory B Cell
17963.938,13415.662,Memory B Cell
17954.037,13438.848,Memory B Cell
17992.117,13420.588,Memory B Cell
