x_transformed,y_transformed,group
16598.584,23003.365,Proliferative Tumor Cells
16529.42,23015.148,Tumor Cells
16552.201,23042.58,Tumor Cells
16555.453,23001.316,Tumor Cells
16584.422,23039.441,Tumor Cells
16598.402,22949.771,Tumor Cells
16440.246,22974.652,Macrophages
16555.951,22973.518,Tumor Cells
16583.775,22973.473,Tumor Cells
16671.523,22988.406,Proliferative Tumor Cells
16623.959,22991.066,Tumor Cells
16649.902,22967.0,Proliferative Tumor Cells
16657.826,23006.232,Proliferative Tumor Cells
16706.076,23098.94,Proliferative Tumor Cells
16615.975,23106.258,Macrophages
16641.264,23123.988,Macrophages
16664.873,23088.64,Tumor Cells
16677.158,23122.244,Tumor Cells
16668.04,23058.92,Tumor Cells
16763.227,23021.871,Tumor Cells
16698.34,23000.688,Macrophages
16738.412,22989.441,Proliferative Tumor Cells
17013.602,22978.994,Tumor Cells
16946.389,22948.889,Proliferative Tumor Cells
16985.414,22979.834,Proliferative Tumor Cells
17008.662,22949.516,Tumor Cells
16852.197,23129.771,Tumor Cells
16811.197,23140.307,Tumor Cells
16827.574,23126.838,Tumor Cells
16896.686,22943.057,Tumor Cells
16767.568,22956.887,Macrophages
16799.066,22950.242,Tumor Cells
16870.355,22943.83,Tumor Cells
16998.984,23030.695,Tumor Cells
16898.188,23130.553,Macrophages
16913.79,23158.805,Tumor Cells
16947.633,23106.627,Macrophages
17206.037,23034.477,Proliferative Tumor Cells
17170.746,23038.262,Proliferative Tumor Cells
17180.14,22993.467,Proliferative Tumor Cells
17036.064,22993.639,Tumor Cells
17011.703,23003.92,Macrophages
17068.123,23004.03,Tumor Cells
17105.354,22960.639,Tumor Cells
17051.45,22974.455,Macrophages
17056.5,22938.646,Tumor Cells
17076.225,22963.586,Tumor Cells
17087.37,22941.516,Tumor Cells
17088.617,22987.465,Tumor Cells
16811.965,22880.795,Macrophages
16779.336,22887.021,Tumor Cells
16783.486,22856.896,Tumor Cells
16506.734,22792.121,Macrophages
15258.88,22777.049,Macrophages
15963.639,22820.512,SOX2-OT+ Tumor Cells
16397.693,22842.78,T and NK Cells
16491.654,22831.3,Macrophages
16650.682,22826.598,Tumor Cells
16655.332,22856.045,Macrophages
16621.924,22836.559,Tumor Cells
16674.455,22804.836,Tumor Cells
16578.385,22808.271,Tumor Cells
16667.717,22771.44,Tumor Cells
16745.926,22863.06,Proliferative Tumor Cells
16708.264,22775.24,Tumor Cells
16720.707,22744.232,Tumor Cells
16726.877,22813.701,Tumor Cells
16743.564,22784.916,Proliferative Tumor Cells
16805.191,22907.521,Macrophages
16745.916,22890.904,Tumor Cells
16728.734,22913.973,Tumor Cells
16760.932,22926.781,Tumor Cells
16790.92,22931.86,Tumor Cells
17022.367,22929.482,Tumor Cells
16872.205,22898.1,Macrophages
16908.598,22911.988,Macrophages
16844.904,22912.383,Proliferative Tumor Cells
16845.014,22941.428,Macrophages
16935.225,22768.12,Tumor Cells
16886.943,22727.268,Tumor Cells
16889.992,22764.14,Macrophages
16915.502,22733.4,Tumor Cells
16898.824,22789.82,Tumor Cells
16933.928,22807.74,Proliferative Tumor Cells
16962.076,22791.674,Tumor Cells
17447.34,22745.438,Tumor Cells
17345.014,22743.15,Ciliated Epithelial Cells
17367.549,22731.068,Proliferative Tumor Cells
17395.88,22733.305,Proliferative Tumor Cells
17424.336,22729.023,Proliferative Tumor Cells
17464.236,22738.637,Proliferative Tumor Cells
17408.438,22782.338,Tumor Cells
17339.658,22776.08,Proliferative Tumor Cells
17379.656,22838.225,Proliferative Tumor Cells
17395.166,22811.014,Proliferative Tumor Cells
17408.91,22758.557,Proliferative Tumor Cells
17438.967,22886.205,Tumor Cells
17381.16,22871.445,Proliferative Tumor Cells
17413.188,22874.217,Tumor Cells
17491.592,22750.002,Tumor Cells
17475.1,22767.73,Proliferative Tumor Cells
17443.156,22768.072,Proliferative Tumor Cells
17469.97,22785.574,Proliferative Tumor Cells
17483.148,22891.28,Tumor Cells
17493.035,22919.785,Proliferative Tumor Cells
17482.541,23120.137,Proliferative Tumor Cells
17423.447,23081.332,Tumor Cells
17362.137,23096.354,Tumor Cells
